PERSON_AGE,VEHICLE_ID,POSITION_IN_VEHICLE,EJECTION,SAFETY_EQUIPMENT
19.0,19862627.0,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",Not Ejected,Lap Belt & Harness
45.0,19960328.0,Driver,Not Ejected,Lap Belt & Harness
26.0,19862075.0,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",Not Ejected,Lap Belt & Harness
38.0,19863104.0,Driver,Not Ejected,Lap Belt & Harness
33.0,19865635.0,Driver,Ejected,None
64.0,19863474.0,Driver,Not Ejected,Lap Belt & Harness
31.0,19863395.0,Driver,Not Ejected,Lap Belt & Harness
26.0,19863849.0,Driver,Not Ejected,Helmet Only (In-Line Skater/Bicyclist)
32.0,19863395.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
38.0,NA,NA,NA,NA
21.0,19862430.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
23.0,19862431.0,Driver,Not Ejected,Lap Belt & Harness
27.0,19862430.0,Driver,Not Ejected,Lap Belt & Harness
32.0,19863555.0,Driver,Not Ejected,Air Bag Deployed/Lap Belt
57.0,NA,NA,NA,NA
34.0,19863555.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Air Bag Deployed/Lap Belt
51.0,19865003.0,Driver,Not Ejected,Lap Belt & Harness
20.0,19865004.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
20.0,19865004.0,Driver,Not Ejected,Lap Belt & Harness
29.0,19953622.0,Driver,Not Ejected,Lap Belt
38.0,19953622.0,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",Not Ejected,Lap Belt
32.0,19953622.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt
44.0,19953621.0,Driver,Not Ejected,Lap Belt
25.0,19966582.0,Driver,Not Ejected,Lap Belt & Harness
30.0,19864042.0,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",Not Ejected,Lap Belt
17.0,19862297.0,Driver,Not Ejected,Lap Belt & Harness
26.0,19864043.0,Driver,Not Ejected,Other
20.0,19862297.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,None
27.0,19864037.0,Driver,Not Ejected,None
41.0,19862214.0,Driver,Not Ejected,Lap Belt & Harness
41.0,19862298.0,Driver,Not Ejected,Lap Belt & Harness
28.0,19863542.0,Driver,Not Ejected,Lap Belt & Harness
29.0,19864042.0,Driver,Not Ejected,Lap Belt
31.0,19864038.0,Driver,Not Ejected,Lap Belt
41.0,19951866.0,Driver,Not Ejected,Lap Belt
61.0,19864041.0,Driver,Not Ejected,Lap Belt
27.0,19862351.0,Right rear passenger or motorcycle sidecar passenger,Not Ejected,Lap Belt & Harness
48.0,19862303.0,Driver,Not Ejected,Lap Belt & Harness
50.0,19862351.0,Driver,Not Ejected,Lap Belt & Harness
27.0,19862301.0,Driver,Not Ejected,Lap Belt & Harness
65.0,NA,NA,NA,NA
30.0,19862458.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Unknown
37.0,19862292.0,Driver,Not Ejected,Lap Belt & Harness
51.0,19864252.0,Driver,Not Ejected,None
31.0,19862458.0,Driver,Not Ejected,Unknown
35.0,19862361.0,Driver,Not Ejected,Lap Belt & Harness
39.0,19862362.0,Driver,Not Ejected,Lap Belt & Harness
29.0,19863040.0,Driver,Not Ejected,Lap Belt & Harness
54.0,19863039.0,Driver,Not Ejected,Lap Belt & Harness
62.0,19862922.0,Driver,Not Ejected,Lap Belt & Harness
60.0,19862922.0,"Middle front seat, or passenger lying across a seat",Not Ejected,Lap Belt & Harness
8.0,NA,NA,NA,NA
35.0,19864055.0,Riding/Hanging on Outside,Not Ejected,None
31.0,NA,NA,NA,NA
33.0,19863254.0,Driver,Not Ejected,Lap Belt & Harness
41.0,19862851.0,Driver,Not Ejected,Lap Belt & Harness
21.0,19862528.0,Driver,Not Ejected,Lap Belt & Harness
62.0,NA,NA,NA,NA
32.0,19862899.0,Driver,Not Ejected,Lap Belt & Harness
53.0,19862899.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
58.0,19862507.0,Driver,Not Ejected,Lap Belt & Harness
31.0,19862900.0,Driver,Not Ejected,Lap Belt & Harness
49.0,19862508.0,Driver,Not Ejected,Lap Belt & Harness
26.0,19862529.0,Driver,Not Ejected,Lap Belt & Harness
46.0,19951185.0,Driver,Not Ejected,Lap Belt & Harness
43.0,19951187.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
7.0,19951187.0,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",Not Ejected,Lap Belt & Harness
27.0,19862425.0,Driver,Not Ejected,Lap Belt & Harness
35.0,NA,NA,NA,NA
46.0,19862530.0,Driver,Not Ejected,Lap Belt
24.0,19862771.0,Driver,Not Ejected,Helmet Only (In-Line Skater/Bicyclist)
35.0,19954411.0,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",Not Ejected,Lap Belt & Harness
57.0,19865111.0,Driver,Not Ejected,Lap Belt & Harness
48.0,19863325.0,Driver,Not Ejected,Helmet (Motorcycle Only)
63.0,NA,NA,NA,NA
41.0,19863796.0,Driver,Not Ejected,Lap Belt
8.0,19954411.0,"Middle rear seat, or passenger lying across a seat",Not Ejected,Lap Belt & Harness
61.0,NA,NA,NA,NA
4.0,NA,NA,NA,NA
33.0,19863299.0,Driver,Not Ejected,Unknown
32.0,19866099.0,Driver,Not Ejected,None
29.0,NA,NA,NA,NA
48.0,19864912.0,Driver,Not Ejected,Lap Belt & Harness
27.0,19862341.0,Right rear passenger or motorcycle sidecar passenger,Not Ejected,None
31.0,19863547.0,Driver,Not Ejected,Lap Belt & Harness
39.0,19863546.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
46.0,19862796.0,Driver,Not Ejected,Lap Belt
59.0,19863208.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
33.0,19863821.0,Driver,Not Ejected,Lap Belt
3.0,19862539.0,Right rear passenger or motorcycle sidecar passenger,Not Ejected,Child Restraint Only
15.0,19862539.0,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",Not Ejected,Lap Belt & Harness
6.0,19862539.0,"Middle rear seat, or passenger lying across a seat",Not Ejected,Child Restraint Only
39.0,19863208.0,Driver,Not Ejected,Lap Belt & Harness
31.0,19864463.0,Driver,Not Ejected,Unknown
27.0,19862417.0,Driver,Not Ejected,Lap Belt & Harness
40.0,19862878.0,Driver,Not Ejected,None
72.0,NA,NA,NA,NA
33.0,19862873.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
45.0,19862872.0,Driver,Not Ejected,Lap Belt & Harness
35.0,19862873.0,Driver,Not Ejected,Lap Belt & Harness
17.0,19863279.0,Driver,Ejected,None
30.0,19862822.0,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",Not Ejected,None
35.0,19862822.0,Driver,Not Ejected,Lap Belt
44.0,19862221.0,Driver,Ejected,Helmet/Other (In-Line Skater/Bicyclist)
33.0,19966840.0,Driver,Not Ejected,Lap Belt & Harness
55.0,19864154.0,Driver,Not Ejected,Lap Belt & Harness
26.0,19864070.0,Driver,Not Ejected,Unknown
16.0,19864070.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Unknown
21.0,19862374.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
24.0,19862374.0,Driver,Not Ejected,Lap Belt & Harness
52.0,19862855.0,Driver,Not Ejected,Air Bag Deployed/Lap Belt/Harness
59.0,19862855.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Air Bag Deployed/Lap Belt/Harness
33.0,19862988.0,"Middle rear seat, or passenger lying across a seat",Not Ejected,Unknown
0.0,19862665.0,Right rear passenger or motorcycle sidecar passenger,Not Ejected,Lap Belt
0.0,19862665.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt
32.0,19862988.0,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",Not Ejected,Unknown
0.0,19862665.0,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",Not Ejected,Lap Belt
33.0,19862988.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Unknown
43.0,19862665.0,Driver,Not Ejected,Lap Belt
20.0,19864087.0,Driver,Not Ejected,Lap Belt
60.0,NA,NA,NA,NA
18.0,NA,NA,NA,NA
35.0,19863824.0,Driver,Not Ejected,Lap Belt & Harness
48.0,19863824.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
46.0,19863324.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
42.0,19863188.0,Driver,Not Ejected,Helmet (Motorcycle Only)
32.0,19863768.0,Driver,Not Ejected,Lap Belt & Harness
48.0,19960879.0,Right rear passenger or motorcycle sidecar passenger,Not Ejected,Lap Belt & Harness
42.0,19960879.0,Driver,Not Ejected,Lap Belt & Harness
24.0,19960879.0,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",Not Ejected,Lap Belt & Harness
52.0,19862863.0,Driver,Not Ejected,Lap Belt & Harness
49.0,NA,NA,NA,NA
49.0,19864076.0,Driver,Not Ejected,Lap Belt & Harness
21.0,19864075.0,Driver,Not Ejected,Lap Belt & Harness
36.0,19863950.0,Driver,Not Ejected,Lap Belt & Harness
43.0,19863069.0,Driver,Not Ejected,Lap Belt & Harness
46.0,19946834.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt
54.0,19946834.0,Driver,Not Ejected,Lap Belt
43.0,19946833.0,Driver,Not Ejected,Lap Belt
59.0,19863684.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
21.0,19863685.0,Driver,Not Ejected,Air Bag Deployed/Lap Belt/Harness
34.0,19863389.0,Driver,Not Ejected,Unknown
55.0,19864084.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
2.0,19863684.0,Right rear passenger or motorcycle sidecar passenger,Not Ejected,Child Restraint Only
36.0,19864156.0,Driver,Not Ejected,Lap Belt & Harness
2.0,19864156.0,Right rear passenger or motorcycle sidecar passenger,Not Ejected,Child Restraint Only
51.0,NA,NA,NA,NA
10.0,19863335.0,"Middle rear seat, or passenger lying across a seat",Not Ejected,Unknown
12.0,19863335.0,"Middle rear seat, or passenger lying across a seat",Not Ejected,Unknown
35.0,19863295.0,Driver,Not Ejected,Lap Belt & Harness
21.0,NA,NA,NA,NA
35.0,19865518.0,Driver,Not Ejected,Lap Belt
52.0,NA,NA,NA,NA
55.0,19863173.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
33.0,19864080.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
71.0,NA,NA,NA,NA
40.0,19953536.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt
4.0,19953536.0,Right rear passenger or motorcycle sidecar passenger,Not Ejected,Child Restraint Only
14.0,NA,NA,NA,NA
17.0,NA,NA,NA,NA
29.0,19864275.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
30.0,19863964.0,Driver,Not Ejected,Lap Belt
23.0,19863730.0,Driver,Not Ejected,Lap Belt & Harness
28.0,19863731.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Unknown
55.0,NA,NA,NA,NA
60.0,19863495.0,Driver,Not Ejected,Lap Belt & Harness
27.0,19863731.0,Driver,Not Ejected,Unknown
65.0,19862999.0,Driver,Not Ejected,Unknown
60.0,NA,NA,NA,NA
39.0,19948127.0,"Middle rear seat, or passenger lying across a seat",Not Ejected,Lap Belt & Harness
53.0,19866348.0,Driver,Not Ejected,Helmet (Motorcycle Only)
46.0,19863183.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
16.0,19863183.0,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",Not Ejected,Lap Belt & Harness
51.0,19863177.0,Driver,Not Ejected,Lap Belt & Harness
13.0,19864435.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
50.0,19863313.0,Driver,Not Ejected,Air Bag Deployed/Lap Belt/Harness
11.0,19863183.0,"Middle rear seat, or passenger lying across a seat",Not Ejected,Lap Belt & Harness
56.0,19863182.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
50.0,19863319.0,Driver,Not Ejected,Lap Belt & Harness
53.0,19952031.0,Driver,Not Ejected,Lap Belt & Harness
48.0,19864088.0,Driver,Not Ejected,Lap Belt & Harness
76.0,19863060.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
22.0,19863573.0,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",Not Ejected,Unknown
36.0,19863573.0,Driver,Not Ejected,Lap Belt & Harness
36.0,19864440.0,Driver,Not Ejected,Lap Belt & Harness
14.0,19864440.0,"Middle rear seat, or passenger lying across a seat",Not Ejected,Lap Belt & Harness
41.0,19863464.0,Driver,Not Ejected,Unknown
12.0,19947091.0,"Middle rear seat, or passenger lying across a seat",Not Ejected,Lap Belt & Harness
28.0,19864165.0,Driver,Ejected,Air Bag Deployed/Lap Belt/Harness
30.0,19863926.0,Driver,Not Ejected,Helmet (Motorcycle Only)
56.0,NA,NA,NA,NA
29.0,19864715.0,Driver,Partially Ejected,Unknown
64.0,19862765.0,Driver,Not Ejected,Unknown
23.0,19862764.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Unknown
21.0,19862764.0,Driver,Not Ejected,Unknown
30.0,19864424.0,Driver,Ejected,None
59.0,19862765.0,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",Not Ejected,Unknown
25.0,19954698.0,Driver,Not Ejected,Lap Belt
28.0,19864393.0,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",Not Ejected,Unknown
20.0,19864390.0,Driver,Not Ejected,Unknown
45.0,19863370.0,Right rear passenger or motorcycle sidecar passenger,Not Ejected,Lap Belt & Harness
47.0,19862919.0,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",Not Ejected,Unknown
29.0,19865019.0,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",Not Ejected,Other
61.0,19865072.0,Driver,Not Ejected,Unknown
43.0,19865019.0,"Middle rear seat, or passenger lying across a seat",Not Ejected,Unknown
28.0,NA,NA,NA,NA
19.0,19863451.0,Driver,Not Ejected,Unknown
25.0,19865020.0,Driver,Not Ejected,Lap Belt & Harness
32.0,19863070.0,Right rear passenger or motorcycle sidecar passenger,Not Ejected,Other
35.0,19863418.0,Driver,Not Ejected,Unknown
66.0,19865958.0,Driver,Not Ejected,Lap Belt & Harness
30.0,19863887.0,Driver,Not Ejected,Lap Belt & Harness
44.0,NA,NA,NA,NA
64.0,19863997.0,Driver,Not Ejected,Lap Belt & Harness
29.0,19863426.0,Driver,Not Ejected,None
50.0,19863828.0,Right rear passenger or motorcycle sidecar passenger,Not Ejected,Lap Belt & Harness
38.0,NA,NA,NA,NA
42.0,19864475.0,Driver,Not Ejected,Lap Belt & Harness
52.0,NA,NA,NA,NA
54.0,19863507.0,Driver,Not Ejected,Unknown
36.0,NA,NA,NA,NA
69.0,NA,NA,NA,NA
60.0,NA,NA,NA,NA
46.0,19865477.0,Driver,Not Ejected,Unknown
56.0,NA,NA,NA,NA
21.0,19863753.0,Driver,Not Ejected,Lap Belt & Harness
39.0,19865478.0,Driver,Not Ejected,Unknown
29.0,NA,NA,NA,NA
22.0,NA,NA,NA,NA
57.0,19865594.0,Driver,Not Ejected,Lap Belt & Harness
36.0,NA,NA,NA,NA
54.0,NA,NA,NA,NA
34.0,19863472.0,Driver,Ejected,Unknown
45.0,19864280.0,Driver,Not Ejected,Lap Belt & Harness
4.0,NA,NA,NA,NA
31.0,NA,NA,NA,NA
55.0,NA,NA,NA,NA
3.0,19863959.0,"Middle rear seat, or passenger lying across a seat",Not Ejected,None
39.0,19864179.0,Driver,Not Ejected,None
30.0,19863960.0,Driver,Not Ejected,Lap Belt & Harness
27.0,19863959.0,"Middle rear seat, or passenger lying across a seat",Not Ejected,None
40.0,19863679.0,Driver,Not Ejected,Lap Belt & Harness
32.0,NA,NA,NA,NA
34.0,19866000.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
29.0,19866188.0,Driver,Not Ejected,Lap Belt & Harness
25.0,19948366.0,Driver,Not Ejected,Lap Belt & Harness
65.0,19864640.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
25.0,19863702.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
39.0,19864639.0,Driver,Not Ejected,Lap Belt & Harness
71.0,NA,NA,NA,NA
18.0,19864640.0,"Middle rear seat, or passenger lying across a seat",Not Ejected,Lap Belt & Harness
43.0,19864627.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
28.0,19863702.0,Driver,Not Ejected,Lap Belt & Harness
31.0,19948364.0,Driver,Not Ejected,Lap Belt & Harness
43.0,19948366.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,None
30.0,19948364.0,"Middle front seat, or passenger lying across a seat",Not Ejected,Lap Belt & Harness
34.0,19948365.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
69.0,19948365.0,Driver,Not Ejected,Lap Belt & Harness
67.0,19868088.0,Driver,Not Ejected,Lap Belt & Harness
33.0,19863633.0,Driver,Not Ejected,Lap Belt & Harness
13.0,19864287.0,Driver,Ejected,None
28.0,19863979.0,Driver,Not Ejected,Lap Belt & Harness
48.0,19863780.0,Driver,Not Ejected,Lap Belt & Harness
33.0,NA,NA,NA,NA
30.0,19863779.0,Driver,Not Ejected,Lap Belt & Harness
17.0,19863634.0,Driver,Not Ejected,Lap Belt & Harness
17.0,19946784.0,Driver,Partially Ejected,None
41.0,19864429.0,Driver,Not Ejected,Lap Belt & Harness
43.0,19863584.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
21.0,19864563.0,Driver,Not Ejected,Lap Belt & Harness
34.0,19863982.0,Driver,Not Ejected,Lap Belt & Harness
34.0,19863670.0,Driver,Not Ejected,Helmet (Motorcycle Only)
57.0,19863584.0,Driver,Not Ejected,Lap Belt & Harness
79.0,NA,NA,NA,NA
28.0,19864429.0,"Middle front seat, or passenger lying across a seat",Not Ejected,Lap Belt & Harness
51.0,19863452.0,Right rear passenger or motorcycle sidecar passenger,Not Ejected,Unknown
9.0,19864429.0,"Middle rear seat, or passenger lying across a seat",Not Ejected,Lap Belt & Harness
17.0,19946784.0,Right rear passenger or motorcycle sidecar passenger,Partially Ejected,None
52.0,19866563.0,Driver,Not Ejected,Lap Belt
29.0,19864906.0,Driver,Not Ejected,Lap Belt & Harness
26.0,19863845.0,Driver,Ejected,Helmet (Motorcycle Only)
66.0,NA,NA,NA,NA
40.0,19864816.0,Driver,Not Ejected,Lap Belt & Harness
30.0,19864412.0,If one person is seated on another person&apos;s lap,Not Ejected,Lap Belt & Harness
31.0,19864482.0,Unknown,Not Ejected,Helmet (Motorcycle Only)
48.0,19946129.0,Driver,Not Ejected,Lap Belt & Harness
20.0,19961591.0,Driver,Not Ejected,None
34.0,19863813.0,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",Not Ejected,Lap Belt & Harness
36.0,NA,NA,NA,NA
72.0,NA,NA,NA,NA
51.0,19863813.0,Right rear passenger or motorcycle sidecar passenger,Not Ejected,Lap Belt & Harness
18.0,19952110.0,Driver,Not Ejected,None
56.0,19867630.0,Unknown,Not Ejected,Unknown
33.0,NA,NA,NA,NA
21.0,19864958.0,Driver,Not Ejected,Unknown
57.0,NA,NA,NA,NA
23.0,19864411.0,Driver,Not Ejected,Helmet Only (In-Line Skater/Bicyclist)
41.0,NA,NA,NA,NA
33.0,19865551.0,Driver,Not Ejected,Lap Belt & Harness
33.0,19863589.0,Driver,Not Ejected,None
26.0,19863687.0,Driver,Not Ejected,None
14.0,19863586.0,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",Not Ejected,Unknown
34.0,19863586.0,Driver,Not Ejected,Unknown
76.0,19864113.0,Driver,Not Ejected,Lap Belt & Harness
45.0,NA,NA,NA,NA
23.0,19863862.0,Driver,Not Ejected,Lap Belt
21.0,19863862.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,None
17.0,19863471.0,Driver,Not Ejected,Lap Belt
36.0,19863693.0,Driver,Not Ejected,None
48.0,19864127.0,Driver,Not Ejected,Lap Belt & Harness
22.0,19863862.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt
21.0,19949457.0,Driver,Not Ejected,Helmet (Motorcycle Only)
33.0,19962592.0,Driver,Not Ejected,Lap Belt & Harness
29.0,NA,NA,NA,NA
27.0,19864438.0,Driver,Not Ejected,None
18.0,19864437.0,Driver,Not Ejected,Air Bag Deployed
45.0,19864569.0,Driver,Not Ejected,Unknown
26.0,19863922.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
61.0,19864116.0,Driver,Not Ejected,Unknown
22.0,19962008.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Unknown
48.0,19864596.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
22.0,19864595.0,Driver,Not Ejected,Air Bag Deployed/Lap Belt/Harness
57.0,19864596.0,Driver,Not Ejected,Lap Belt & Harness
34.0,19947634.0,Driver,Ejected,None
24.0,19865917.0,Driver,Ejected,Helmet Only (In-Line Skater/Bicyclist)
43.0,NA,NA,NA,NA
40.0,19867714.0,Driver,Not Ejected,Lap Belt & Harness
57.0,19867714.0,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",Not Ejected,Lap Belt & Harness
24.0,NA,NA,NA,NA
59.0,19864796.0,Driver,Not Ejected,Lap Belt & Harness
5.0,19864478.0,Right rear passenger or motorcycle sidecar passenger,Not Ejected,Lap Belt & Harness
7.0,19864478.0,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",Not Ejected,Lap Belt & Harness
24.0,19944576.0,Driver,Ejected,Helmet/Other (In-Line Skater/Bicyclist)
42.0,19864663.0,Driver,Not Ejected,Lap Belt & Harness
66.0,19866261.0,Driver,Ejected,None
19.0,19864663.0,Right rear passenger or motorcycle sidecar passenger,Not Ejected,Lap Belt & Harness
79.0,NA,Unknown,Not Ejected,None
56.0,19864326.0,Driver,Not Ejected,Lap Belt & Harness
22.0,19864501.0,Driver,Not Ejected,None
26.0,19864370.0,Driver,Not Ejected,Air Bag Deployed/Lap Belt/Harness
31.0,19864472.0,Driver,Not Ejected,Lap Belt
28.0,19864601.0,Driver,Not Ejected,None
46.0,19865145.0,Driver,Not Ejected,Unknown
56.0,19865146.0,Driver,Not Ejected,Unknown
58.0,19864553.0,Driver,Not Ejected,Lap Belt & Harness
56.0,19865145.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Unknown
22.0,19866047.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
25.0,19866047.0,Driver,Not Ejected,Lap Belt & Harness
0.0,19865257.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Unknown
70.0,19865257.0,Driver,Not Ejected,Unknown
60.0,19864581.0,Driver,Not Ejected,Lap Belt & Harness
23.0,19865256.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Unknown
37.0,19865256.0,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",Not Ejected,Unknown
60.0,19865256.0,Right rear passenger or motorcycle sidecar passenger,Not Ejected,Unknown
21.0,19865256.0,Driver,Not Ejected,Unknown
33.0,19864582.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
24.0,19864666.0,Driver,Not Ejected,Lap Belt & Harness
27.0,19865006.0,Driver,Not Ejected,Lap Belt
67.0,19864148.0,Right rear passenger or motorcycle sidecar passenger,Not Ejected,Lap Belt & Harness
17.0,19864802.0,Driver,Not Ejected,None
42.0,19864148.0,Driver,Not Ejected,Lap Belt & Harness
56.0,NA,NA,NA,NA
40.0,19866426.0,Driver,Ejected,Unknown
45.0,19864866.0,Driver,Not Ejected,Unknown
65.0,19864148.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
77.0,NA,NA,NA,NA
47.0,19864570.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
53.0,19864617.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
25.0,19865585.0,Driver,Not Ejected,Air Bag Deployed/Lap Belt
30.0,19865042.0,Driver,Partially Ejected,None
54.0,19951040.0,Driver,Not Ejected,Lap Belt & Harness
27.0,19864159.0,Driver,Not Ejected,Unknown
39.0,19865509.0,Driver,Not Ejected,None
47.0,NA,NA,NA,NA
21.0,19865621.0,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",Not Ejected,Unknown
14.0,19866385.0,Driver,Not Ejected,None
55.0,19864574.0,Driver,Not Ejected,Lap Belt & Harness
28.0,19864688.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
35.0,19864790.0,Driver,Not Ejected,Lap Belt & Harness
28.0,19864689.0,Driver,Not Ejected,Lap Belt & Harness
30.0,19943631.0,Driver,Not Ejected,None
25.0,19864336.0,Driver,Not Ejected,Lap Belt & Harness
39.0,19864694.0,Driver,Not Ejected,Lap Belt & Harness
29.0,NA,NA,NA,NA
40.0,19864247.0,Driver,Not Ejected,None
30.0,19864486.0,Driver,Not Ejected,Lap Belt
41.0,19961652.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
32.0,19945108.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
36.0,19945108.0,Driver,Not Ejected,Lap Belt & Harness
49.0,19961652.0,Driver,Not Ejected,Lap Belt & Harness
33.0,19865270.0,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",Not Ejected,Lap Belt & Harness
30.0,19864161.0,Driver,Not Ejected,Helmet Only (In-Line Skater/Bicyclist)
35.0,19864781.0,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",Not Ejected,Lap Belt & Harness
25.0,19864781.0,Driver,Not Ejected,Lap Belt & Harness
23.0,NA,NA,NA,NA
45.0,19866573.0,Driver,Not Ejected,Lap Belt & Harness
51.0,19966921.0,Driver,Not Ejected,Lap Belt & Harness
25.0,19866568.0,Driver,Not Ejected,None
27.0,NA,NA,NA,NA
26.0,19864262.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Lap Belt & Harness
23.0,19864262.0,"Middle rear seat, or passenger lying across a seat",Not Ejected,None
35.0,19865516.0,Driver,Not Ejected,Air Bag Deployed/Lap Belt/Harness
24.0,19865516.0,"Front passenger, if two or more persons, including the driver, are in the front seat",Not Ejected,Air Bag Deployed/Lap Belt/Harness
